year,month,day,statefips,State,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,25,10,DE,0.0329,0.00857,0.174,0.0543,0.0271,-0.00286,0.00571
2020,2,25,11,DC,0,-0.0386,0.134,0.0171,-0.00429,0.00571,-0.00352
2020,2,25,12,FL,0.0271,0.00571,0.0843,0.0329,0.0114,0.00143,-0.00138
2020,2,25,13,GA,0.00714,-0.0129,0.0643,0.0171,-0.00143,0.00571,-0.00363
2020,2,25,15,HI,0.0129,-0.00286,0.0871,0.0186,0.00857,0.00143,-0.00049
2020,2,25,16,ID,0.0571,0.0443,0.26,0.0743,0.0314,-0.00857,0.0116
2020,2,25,17,IL,0.0357,0.0314,0.234,0.03,0.0271,-0.00571,0.0108
2020,2,25,18,IN,0.0514,0.0143,0.231,0.0571,0.0229,-0.00429,0.00761
2020,2,25,19,IA,0.04,0.0957,0.229,0.00143,0.0314,-0.00714,0.0121
2020,2,25,20,KS,0.0443,-0.0157,0.136,0.00571,0.0314,-0.00429,0.00542
2020,2,25,21,KY,0.0286,0.0286,0.167,0.0357,0.0243,-0.00143,0.00453
2020,2,25,22,LA,0.1,0.0557,0.224,0.2,-0.0743,0.01,-0.00554
2020,2,25,23,ME,0.0671,0.0114,0.17,0.117,-0.03,0.00571,-0.0019
2020,2,25,24,MD,0.0214,0,0.183,0.0143,0.03,-0.00429,0.00792
2020,2,25,25,MA,0.0371,-0.0214,0.244,0.01,-0.0229,0.00571,-0.00312
2020,2,25,26,MI,0.0414,0.01,0.246,0.0914,0.0257,-0.00429,0.00944
2020,2,25,27,MN,0.0357,0.0243,0.0814,0.0471,0.0214,-0.00429,0.00857
2020,2,25,28,MS,0.03,0.01,0.0386,0.0671,-0.00571,0.00571,-0.00519
2020,2,25,29,MO,0.0557,0.0243,0.18,0.0414,0.06,-0.00857,0.0122
2020,2,25,30,MT,0.0486,0.0214,0.0143,0.0486,0.0214,-0.00429,0.00532
2020,2,25,31,NE,0.0443,0.02,0.241,0.0386,0.0186,-0.00143,0.00487
2020,2,25,32,NV,0.0286,0.0157,0.0957,0.0329,0.00286,0.00143,-0.000993
2020,2,25,33,NH,0.0486,-0.0129,0.266,0.174,-0.0114,0.00143,0.00225
2020,2,25,34,NJ,0.0214,-0.00571,0.309,0.02,0.02,-0.00143,0.00403
2020,2,25,35,NM,0.03,0.0371,-0.0214,0.0286,0.0229,-0.00143,0.000169
2020,2,25,36,NY,0.0329,-0.0143,0.157,-0.0114,-0.0186,0.00714,-0.00481
2020,2,25,37,NC,-0.00857,-0.0214,0.0214,0.00857,-0.0171,0.0229,-0.0225
2020,2,25,38,ND,0.0471,-0.00286,0.0929,0.06,0.0271,-0.00429,0.00922
2020,2,25,39,OH,0.0414,0.00571,0.26,0.0443,0.0257,-0.00286,0.00622
2020,2,25,40,OK,0.0243,0,-0.02,0.0257,0.02,0.00143,-0.003
2020,2,25,41,OR,0.06,0.0257,0.363,0.0514,0.0229,-0.01,0.0125
2020,2,25,42,PA,0.0414,0.00571,0.32,0.0243,0.0257,-0.00143,0.00403
