year,month,day,statefips,State,case_rate,new_case_rate
2020,1,24,23,ME,0,.
2020,1,24,24,MD,0,.
2020,1,24,25,MA,0,.
2020,1,24,26,MI,0,.
2020,1,24,27,MN,0,.
2020,1,24,28,MS,0,.
2020,1,24,29,MO,0,.
2020,1,24,30,MT,0,.
2020,1,24,31,NE,0,.
2020,1,24,32,NV,0,.
2020,1,24,33,NH,0,.
2020,1,24,34,NJ,0,.
2020,1,24,35,NM,0,.
2020,1,24,36,NY,0,.
2020,1,24,37,NC,0,.
2020,1,24,38,ND,0,.
2020,1,24,39,OH,0,.
2020,1,24,40,OK,0,.
2020,1,24,41,OR,0,.
2020,1,24,42,PA,0,.
2020,1,24,44,RI,0,.
2020,1,24,45,SC,0,.
2020,1,24,46,SD,0,.
2020,1,24,47,TN,0,.
2020,1,24,48,TX,0,.
2020,1,24,49,UT,0,.
2020,1,24,50,VT,0,.
2020,1,24,51,VA,0,.
2020,1,24,53,WA,0.0131,.
2020,1,24,54,WV,0,.
2020,1,24,55,WI,0,.
2020,1,24,56,WY,0,.
2020,1,25,1,AL,0,.
2020,1,25,2,AK,0,.
2020,1,25,4,AZ,0,.
2020,1,25,5,AR,0,.
2020,1,25,6,CA,0.00253,.
2020,1,25,8,CO,0,.
2020,1,25,9,CT,0,.
2020,1,25,10,DE,0,.
2020,1,25,11,DC,0,.
2020,1,25,12,FL,0,.
2020,1,25,13,GA,0,.
2020,1,25,15,HI,0,.
2020,1,25,16,ID,0,.
2020,1,25,17,IL,0.00789,.
2020,1,25,18,IN,0,.
2020,1,25,19,IA,0,.
2020,1,25,20,KS,0,.
2020,1,25,21,KY,0,.
2020,1,25,22,LA,0,.
2020,1,25,23,ME,0,.
2020,1,25,24,MD,0,.
2020,1,25,25,MA,0,.
2020,1,25,26,MI,0,.
2020,1,25,27,MN,0,.
2020,1,25,28,MS,0,.
2020,1,25,29,MO,0,.
2020,1,25,30,MT,0,.
2020,1,25,31,NE,0,.
